Source,Target,Type,Id,Label,Weight,Edge Color
9,6,Directed,386268,,1,
413,6,Directed,386197,,1,
37,6,Directed,386144,,1,
82,6,Directed,386097,,1,
412,6,Directed,386043,,1,
153,6,Directed,385977,,1,
265,6,Directed,385914,,1,
243,6,Directed,385880,,1,
106,6,Directed,385807,,1,
141,6,Directed,385603,,1,
36,6,Directed,385585,,1,
104,6,Directed,385555,,1,
424,6,Directed,385510,,1,
207,6,Directed,385454,,1,
35,6,Directed,385423,,1,
533,6,Directed,385403,,1,
172,6,Directed,385303,,1,
103,6,Directed,385191,,1,
34,6,Directed,385049,,1,
33,6,Directed,385005,,1,
572,6,Directed,384826,,1,
32,6,Directed,384667,,1,
557,6,Directed,384611,,1,
548,6,Directed,384562,,1,
101,6,Directed,384519,,1,
292,6,Directed,384407,,1,
479,6,Directed,384353,,1,
359,6,Directed,384179,,1,
508,6,Directed,384150,,1,
241,6,Directed,384108,,1,
382,6,Directed,384046,,1,
63,6,Directed,384007,,1,
61,6,Directed,383923,,1,
137,6,Directed,383871,,1,
406,6,Directed,383792,,1,
60,6,Directed,383693,,1,
29,6,Directed,383638,,1,
461,6,Directed,383490,,1,
158,6,Directed,383392,,1,
75,6,Directed,383323,,1,
261,6,Directed,383298,,1,
275,6,Directed,383265,,1,
151,6,Directed,383164,,1,
171,6,Directed,383083,,1,
99,6,Directed,383009,,1,
98,6,Directed,382963,,1,
26,6,Directed,382750,,1,
201,6,Directed,382718,,1,
200,6,Directed,382679,,1,
399,6,Directed,382619,,1,
133,6,Directed,382583,,1,
393,6,Directed,382513,,1,
90,6,Directed,382468,,1,
326,6,Directed,382258,,1,
356,6,Directed,382180,,1,
96,6,Directed,382076,,1,
335,6,Directed,381981,,1,
333,6,Directed,381972,,1,
157,6,Directed,381946,,1,
325,6,Directed,381884,,1,
289,6,Directed,381844,,1,
22,6,Directed,381763,,1,
79,6,Directed,381425,,1,
258,6,Directed,381135,,1,
254,6,Directed,381104,,1,
20,6,Directed,380920,,1,
129,6,Directed,380889,,1,
179,6,Directed,380812,,1,
169,6,Directed,380786,,1,
18,6,Directed,380737,,1,
128,6,Directed,380670,,1,
95,6,Directed,380599,,1,
89,6,Directed,380577,,1,
17,6,Directed,380493,,1,
8,198,Directed,385504,,1,
8,15,Directed,385503,,1,
8,50,Directed,385502,,1,
8,112,Directed,385501,,1,
8,49,Directed,385500,,1,
8,111,Directed,385499,,1,
8,14,Directed,385498,,1,
8,12,Directed,385497,,1,
8,11,Directed,385496,,1,
8,249,Directed,385495,,1,
8,46,Directed,385494,,1,
8,69,Directed,385493,,1,
8,83,Directed,385492,,1,
8,245,Directed,385491,,1,
8,108,Directed,385489,,1,
8,107,Directed,385488,,1,
8,9,Directed,385487,,1,
8,93,Directed,385486,,1,
8,82,Directed,385485,,1,
8,243,Directed,385484,,1,
8,104,Directed,385482,,1,
8,424,Directed,385481,,1,
8,103,Directed,385480,,1,
8,187,Directed,385479,,1,
8,32,Directed,385478,,1,
8,195,Directed,385477,,1,
8,240,Directed,385476,,1,
8,75,Directed,385475,,1,
8,28,Directed,385474,,1,
8,27,Directed,385473,,1,
8,26,Directed,385472,,1,
8,25,Directed,385471,,1,
8,131,Directed,385468,,1,
8,170,Directed,385467,,1,
8,184,Directed,385466,,1,
8,235,Directed,385464,,1,
8,258,Directed,385462,,1,
8,19,Directed,385461,,1,
332,8,Directed,396322,,1,
675,8,Directed,394872,,1,
605,8,Directed,392258,,1,
674,8,Directed,391380,,1,
114,8,Directed,390533,,1,
624,8,Directed,389594,,1,
50,8,Directed,389535,,1,
659,8,Directed,389220,,1,
286,8,Directed,389207,,1,
146,8,Directed,389144,,1,
385,8,Directed,389118,,1,
145,8,Directed,389083,,1,
596,8,Directed,389042,,1,
111,8,Directed,388902,,1,
14,8,Directed,388739,,1,
416,8,Directed,388702,,1,
285,8,Directed,388586,,1,
13,8,Directed,388504,,1,
249,8,Directed,388412,,1,
248,8,Directed,388052,,1,
188,8,Directed,387999,,1,
684,8,Directed,387883,,1,
69,8,Directed,387823,,1,
666,8,Directed,387812,,1,
209,8,Directed,387792,,1,
432,8,Directed,387564,,1,
44,8,Directed,387368,,1,
247,8,Directed,387255,,1,
337,8,Directed,387208,,1,
40,8,Directed,387117,,1,
290,8,Directed,387037,,1,
159,8,Directed,386908,,1,
344,8,Directed,386818,,1,
66,8,Directed,386748,,1,
504,8,Directed,386603,,1,
334,8,Directed,386580,,1,
107,8,Directed,386415,,1,
93,8,Directed,386230,,1,
82,8,Directed,386100,,1,
412,8,Directed,386050,,1,
153,8,Directed,385981,,1,
265,8,Directed,385920,,1,
105,8,Directed,385715,,1,
196,8,Directed,385634,,1,
104,8,Directed,385558,,1,
323,8,Directed,385532,,1,
424,8,Directed,385512,,1,
309,8,Directed,385247,,1,
206,8,Directed,385221,,1,
187,8,Directed,385175,,1,
33,8,Directed,385010,,1,
64,8,Directed,384910,,1,
32,8,Directed,384681,,1,
273,8,Directed,384604,,1,
548,8,Directed,384566,,1,
101,8,Directed,384524,,1,
195,8,Directed,384487,,1,
31,8,Directed,384449,,1,
292,8,Directed,384411,,1,
479,8,Directed,384359,,1,
360,8,Directed,384297,,1,
467,8,Directed,384284,,1,
491,8,Directed,384259,,1,
508,8,Directed,384154,,1,
241,8,Directed,384115,,1,
138,8,Directed,384063,,1,
478,8,Directed,383727,,1,
29,8,Directed,383645,,1,
240,8,Directed,383600,,1,
202,8,Directed,383476,,1,
75,8,Directed,383326,,1,
261,8,Directed,383301,,1,
275,8,Directed,383267,,1,
28,8,Directed,383243,,1,
171,8,Directed,383090,,1,
135,8,Directed,382925,,1,
27,8,Directed,382860,,1,
422,8,Directed,382824,,1,
396,8,Directed,382603,,1,
356,8,Directed,382181,,1,
131,8,Directed,382007,,1,
157,8,Directed,381951,,1,
325,8,Directed,381891,,1,
289,8,Directed,381850,,1,
22,8,Directed,381775,,1,
213,8,Directed,381731,,1,
281,8,Directed,381604,,1,
79,8,Directed,381432,,1,
258,8,Directed,381140,,1,
59,8,Directed,381045,,1,
194,8,Directed,380899,,1,
19,8,Directed,380868,,1,
179,8,Directed,380815,,1,
95,8,Directed,380604,,1,
9,127,Directed,386275,,1,
9,118,Directed,386274,,1,
9,485,Directed,386273,,1,
9,94,Directed,386272,,1,
9,40,Directed,386271,,1,
9,35,Directed,386269,,1,
9,97,Directed,386267,,1,
127,9,Directed,399334,,1,
437,9,Directed,399298,,1,
125,9,Directed,399136,,1,
802,9,Directed,398676,,1,
775,9,Directed,398143,,1,
752,9,Directed,397646,,1,
487,9,Directed,397340,,1,
654,9,Directed,397007,,1,
594,9,Directed,396387,,1,
120,9,Directed,395102,,1,
675,9,Directed,394879,,1,
84,9,Directed,394063,,1,
118,9,Directed,393795,,1,
740,9,Directed,392140,,1,
760,9,Directed,391470,,1,
949,9,Directed,391359,,1,
809,9,Directed,390810,,1,
114,9,Directed,390534,,1,
624,9,Directed,389597,,1,
50,9,Directed,389540,,1,
57,9,Directed,389422,,1,
147,9,Directed,389401,,1,
331,9,Directed,389370,,1,
94,9,Directed,389330,,1,
175,9,Directed,389231,,1,
286,9,Directed,389209,,1,
646,9,Directed,389162,,1,
146,9,Directed,389145,,1,
385,9,Directed,389119,,1,
111,9,Directed,388907,,1,
173,9,Directed,388855,,1,
48,9,Directed,388795,,1,
14,9,Directed,388743,,1,
384,9,Directed,388559,,1,
13,9,Directed,388512,,1,
249,9,Directed,388413,,1,
324,9,Directed,388307,,1,
579,9,Directed,388232,,1,
182,9,Directed,388127,,1,
248,9,Directed,388057,,1,
188,9,Directed,388001,,1,
71,9,Directed,387948,,1,
193,9,Directed,387743,,1,
578,9,Directed,387464,,1,
67,9,Directed,387406,,1,
44,9,Directed,387373,,1,
626,9,Directed,387321,,1,
41,9,Directed,387295,,1,
337,9,Directed,387213,,1,
277,9,Directed,387179,,1,
534,9,Directed,387068,,1,
290,9,Directed,387038,,1,
509,9,Directed,386986,,1,
159,9,Directed,386919,,1,
66,9,Directed,386759,,1,
621,9,Directed,386618,,1,
504,9,Directed,386604,,1,
108,9,Directed,386484,,1,
107,9,Directed,386421,,1,
412,9,Directed,386057,,1,
153,9,Directed,385984,,1,
265,9,Directed,385923,,1,
106,9,Directed,385819,,1,
105,9,Directed,385726,,1,
141,9,Directed,385607,,1,
35,9,Directed,385431,,1,
172,9,Directed,385316,,1,
187,9,Directed,385178,,1,
102,9,Directed,385095,,1,
64,9,Directed,384921,,1,
32,9,Directed,384690,,1,
140,9,Directed,384579,,1,
292,9,Directed,384413,,1,
479,9,Directed,384361,,1,
241,9,Directed,384121,,1,
138,9,Directed,384064,,1,
382,9,Directed,384047,,1,
62,9,Directed,383945,,1,
137,9,Directed,383879,,1,
283,9,Directed,383740,,1,
60,9,Directed,383699,,1,
29,9,Directed,383647,,1,
240,9,Directed,383605,,1,
202,9,Directed,383477,,1,
151,9,Directed,383183,,1,
171,9,Directed,383094,,1,
99,9,Directed,383021,,1,
27,9,Directed,382866,,1,
26,9,Directed,382758,,1,
393,9,Directed,382515,,1,
23,9,Directed,382398,,1,
260,9,Directed,382311,,1,
97,9,Directed,382137,,1,
96,9,Directed,382092,,1,
157,9,Directed,381953,,1,
22,9,Directed,381787,,1,
235,9,Directed,381529,,1,
79,9,Directed,381438,,1,
59,9,Directed,381051,,1,
231,9,Directed,380999,,1,
179,9,Directed,380816,,1,
169,9,Directed,380789,,1,
95,9,Directed,380609,,1,
17,9,Directed,380501,,1,
10,117,Directed,387656,,1,
10,678,Directed,387655,,1,
10,403,Directed,387654,,1,
10,11,Directed,387653,,1,
10,72,Directed,387652,,1,
10,38,Directed,387650,,1,
10,172,Directed,387649,,1,
10,242,Directed,387648,,1,
10,27,Directed,387647,,1,
10,133,Directed,387646,,1,
10,19,Directed,387643,,1,
437,10,Directed,399301,,1,
675,10,Directed,394886,,1,
114,10,Directed,390538,,1,
624,10,Directed,389603,,1,
175,10,Directed,389234,,1,
385,10,Directed,389125,,1,
250,10,Directed,389007,,1,
72,10,Directed,388398,,1,
248,10,Directed,388069,,1,
71,10,Directed,387959,,1,
70,10,Directed,387846,,1,
193,10,Directed,387749,,1,
578,10,Directed,387477,,1,
247,10,Directed,387262,,1,
159,10,Directed,386934,,1,
504,10,Directed,386608,,1,
334,10,Directed,386584,,1,
38,10,Directed,386533,,1,
172,10,Directed,385326,,1,
242,10,Directed,385153,,1,
64,10,Directed,384939,,1,
292,10,Directed,384417,,1,
241,10,Directed,384126,,1,
138,10,Directed,384065,,1,
61,10,Directed,383933,,1,
406,10,Directed,383803,,1,
461,10,Directed,383501,,1,
171,10,Directed,383107,,1,
135,10,Directed,382935,,1,
422,10,Directed,382825,,1,
133,10,Directed,382589,,1,
23,10,Directed,382412,,1,
326,10,Directed,382265,,1,
132,10,Directed,382220,,1,
325,10,Directed,381906,,1,
22,10,Directed,381806,,1,
78,10,Directed,380559,,1,
11,699,Directed,388443,,1,
11,94,Directed,388442,,1,
11,166,Directed,388441,,1,
11,197,Directed,388440,,1,
11,35,Directed,388439,,1,
11,75,Directed,388435,,1,
11,170,Directed,388433,,1,
11,79,Directed,388432,,1,
125,11,Directed,399140,,1,
778,11,Directed,399079,,1,
1035,11,Directed,398633,,1,
1060,11,Directed,398376,,1,
495,11,Directed,398164,,1,
632,11,Directed,397942,,1,
787,11,Directed,397381,,1,
123,11,Directed,397284,,1,
501,11,Directed,396552,,1,
352,11,Directed,396226,,1,
168,11,Directed,395889,,1,
936,11,Directed,395836,,1,
993,11,Directed,395272,,1,
992,11,Directed,395228,,1,
120,11,Directed,395104,,1,
675,11,Directed,394891,,1,
643,11,Directed,394615,,1,
539,11,Directed,394331,,1,
118,11,Directed,393802,,1,
117,11,Directed,393600,,1,
909,11,Directed,392451,,1,
219,11,Directed,392353,,1,
605,11,Directed,392264,,1,
740,11,Directed,392142,,1,
956,11,Directed,391757,,1,
660,11,Directed,391483,,1,
674,11,Directed,391382,,1,
339,11,Directed,391255,,1,
809,11,Directed,390812,,1,
114,11,Directed,390539,,1,
625,11,Directed,390398,,1,
861,11,Directed,390195,,1,
766,11,Directed,389740,,1,
51,11,Directed,389625,,1,
624,11,Directed,389605,,1,
50,11,Directed,389560,,1,
287,11,Directed,389481,,1,
76,11,Directed,389456,,1,
147,11,Directed,389405,,1,
361,11,Directed,389383,,1,
94,11,Directed,389339,,1,
266,11,Directed,389296,,1,
659,11,Directed,389222,,1,
211,11,Directed,389191,,1,
146,11,Directed,389153,,1,
145,11,Directed,389104,,1,
596,11,Directed,389047,,1,
434,11,Directed,388952,,1,
166,11,Directed,388946,,1,
173,11,Directed,388867,,1,
48,11,Directed,388804,,1,
568,11,Directed,388767,,1,
14,11,Directed,388755,,1,
416,11,Directed,388705,,1,
296,11,Directed,388688,,1,
13,11,Directed,388531,,1,
12,11,Directed,388454,,1,
72,11,Directed,388399,,1,
346,11,Directed,388376,,1,
46,11,Directed,388338,,1,
324,11,Directed,388316,,1,
390,11,Directed,388279,,1,
579,11,Directed,388254,,1,
182,11,Directed,388143,,1,
248,11,Directed,388074,,1,
188,11,Directed,388002,,1,
71,11,Directed,387968,,1,
684,11,Directed,387884,,1,
70,11,Directed,387848,,1,
209,11,Directed,387801,,1,
193,11,Directed,387754,,1,
433,11,Directed,387668,,1,
432,11,Directed,387575,,1,
109,11,Directed,387537,,1,
578,11,Directed,387483,,1,
67,11,Directed,387409,,1,
44,11,Directed,387381,,1,
41,11,Directed,387309,,1,
247,11,Directed,387266,,1,
337,11,Directed,387224,,1,
277,11,Directed,387188,,1,
290,11,Directed,387046,,1,
83,11,Directed,387011,,1,
159,11,Directed,386947,,1,
344,11,Directed,386821,,1,
66,11,Directed,386789,,1,
642,11,Directed,386622,,1,
504,11,Directed,386610,,1,
334,11,Directed,386588,,1,
408,11,Directed,386555,,1,
619,11,Directed,386506,,1,
108,11,Directed,386493,,1,
107,11,Directed,386439,,1,
310,11,Directed,386357,,1,
244,11,Directed,386345,,1,
142,11,Directed,386262,,1,
93,11,Directed,386237,,1,
413,11,Directed,386207,,1,
37,11,Directed,386158,,1,
293,11,Directed,386131,,1,
82,11,Directed,386110,,1,
412,11,Directed,386073,,1,
153,11,Directed,386001,,1,
265,11,Directed,385937,,1,
243,11,Directed,385891,,1,
81,11,Directed,385865,,1,
106,11,Directed,385835,,1,
105,11,Directed,385757,,1,
197,11,Directed,385641,,1,
141,11,Directed,385614,,1,
607,11,Directed,385577,,1,
104,11,Directed,385563,,1,
424,11,Directed,385521,,1,
35,11,Directed,385439,,1,
172,11,Directed,385334,,1,
309,11,Directed,385255,,1,
206,11,Directed,385225,,1,
180,11,Directed,385195,,1,
187,11,Directed,385184,,1,
242,11,Directed,385157,,1,
284,11,Directed,385120,,1,
102,11,Directed,385101,,1,
34,11,Directed,385050,,1,
33,11,Directed,385020,,1,
64,11,Directed,384952,,1,
570,11,Directed,384821,,1,
233,11,Directed,384789,,1,
32,11,Directed,384718,,1,
548,11,Directed,384572,,1,
101,11,Directed,384539,,1,
195,11,Directed,384489,,1,
383,11,Directed,384474,,1,
31,11,Directed,384452,,1,
292,11,Directed,384422,,1,
479,11,Directed,384370,,1,
411,11,Directed,384335,,1,
407,11,Directed,384313,,1,
360,11,Directed,384299,,1,
467,11,Directed,384286,,1,
91,11,Directed,384231,,1,
359,11,Directed,384183,,1,
508,11,Directed,384159,,1,
241,11,Directed,384132,,1,
138,11,Directed,384067,,1,
382,11,Directed,384051,,1,
61,11,Directed,383936,,1,
137,11,Directed,383890,,1,
406,11,Directed,383806,,1,
410,11,Directed,383768,,1,
478,11,Directed,383729,,1,
60,11,Directed,383707,,1,
29,11,Directed,383658,,1,
240,11,Directed,383614,,1,
238,11,Directed,383565,,1,
158,11,Directed,383406,,1,
75,11,Directed,383335,,1,
261,11,Directed,383309,,1,
275,11,Directed,383278,,1,
28,11,Directed,383250,,1,
151,11,Directed,383210,,1,
441,11,Directed,383135,,1,
171,11,Directed,383114,,1,
431,11,Directed,383060,,1,
99,11,Directed,383035,,1,
430,11,Directed,382987,,1,
98,11,Directed,382973,,1,
27,11,Directed,382884,,1,
26,11,Directed,382766,,1,
186,11,Directed,382738,,1,
201,11,Directed,382728,,1,
200,11,Directed,382696,,1,
396,11,Directed,382604,,1,
133,11,Directed,382592,,1,
393,11,Directed,382520,,1,
90,11,Directed,382486,,1,
23,11,Directed,382423,,1,
380,11,Directed,382337,,1,
260,11,Directed,382319,,1,
326,11,Directed,382270,,1,
237,11,Directed,382203,,1,
97,11,Directed,382141,,1,
96,11,Directed,382113,,1,
131,11,Directed,382016,,1,
170,11,Directed,381994,,1,
335,11,Directed,381985,,1,
157,11,Directed,381961,,1,
325,11,Directed,381909,,1,
289,11,Directed,381856,,1,
22,11,Directed,381814,,1,
282,11,Directed,381711,,1,
281,11,Directed,381615,,1,
235,11,Directed,381545,,1,
288,11,Directed,381480,,1,
79,11,Directed,381457,,1,
258,11,Directed,381158,,1,
254,11,Directed,381107,,1,
59,11,Directed,381075,,1,
231,11,Directed,381000,,1,
212,11,Directed,380993,,1,
20,11,Directed,380934,,1,
194,11,Directed,380902,,1,
129,11,Directed,380892,,1,
19,11,Directed,380875,,1,
169,11,Directed,380796,,1,
18,11,Directed,380748,,1,
128,11,Directed,380689,,1,
95,11,Directed,380620,,1,
89,11,Directed,380581,,1,
78,11,Directed,380560,,1,
17,11,Directed,380511,,1,
12,222,Directed,388465,,1,
12,125,Directed,388464,,1,
12,55,Directed,388463,,1,
12,118,Directed,388462,,1,
12,116,Directed,388461,,1,
12,115,Directed,388460,,1,
12,114,Directed,388459,,1,
12,76,Directed,388458,,1,
12,94,Directed,388457,,1,
12,111,Directed,388456,,1,
12,47,Directed,388455,,1,
12,46,Directed,388453,,1,
12,69,Directed,388452,,1,
12,83,Directed,388451,,1,
12,108,Directed,388449,,1,
12,35,Directed,388448,,1,
437,12,Directed,399302,,1,
125,12,Directed,399141,,1,
802,12,Directed,398679,,1,
654,12,Directed,397010,,1,
643,12,Directed,394616,,1,
118,12,Directed,393803,,1,
485,12,Directed,393734,,1,
961,12,Directed,392391,,1,
115,12,Directed,391628,,1,
339,12,Directed,391256,,1,
114,12,Directed,390540,,1,
624,12,Directed,389606,,1,
50,12,Directed,389561,,1,
287,12,Directed,389482,,1,
147,12,Directed,389406,,1,
94,12,Directed,389340,,1,
112,12,Directed,389274,,1,
146,12,Directed,389154,,1,
145,12,Directed,389105,,1,
111,12,Directed,388918,,1,
173,12,Directed,388868,,1,
48,12,Directed,388805,,1,
14,12,Directed,388756,,1,
47,12,Directed,388624,,1,
13,12,Directed,388532,,1,
144,12,Directed,388428,,1,
72,12,Directed,388400,,1,
324,12,Directed,388317,,1,
579,12,Directed,388255,,1,
182,12,Directed,388144,,1,
248,12,Directed,388075,,1,
71,12,Directed,387969,,1,
69,12,Directed,387826,,1,
666,12,Directed,387816,,1,
193,12,Directed,387755,,1,
432,12,Directed,387576,,1,
109,12,Directed,387538,,1,
44,12,Directed,387382,,1,
337,12,Directed,387225,,1,
40,12,Directed,387129,,1,
534,12,Directed,387072,,1,
290,12,Directed,387047,,1,
83,12,Directed,387012,,1,
159,12,Directed,386948,,1,
344,12,Directed,386822,,1,
66,12,Directed,386790,,1,
334,12,Directed,386589,,1,
108,12,Directed,386494,,1,
107,12,Directed,386440,,1,
93,12,Directed,386238,,1,
413,12,Directed,386208,,1,
37,12,Directed,386159,,1,
153,12,Directed,386002,,1,
265,12,Directed,385938,,1,
243,12,Directed,385892,,1,
81,12,Directed,385866,,1,
106,12,Directed,385836,,1,
105,12,Directed,385758,,1,
104,12,Directed,385564,,1,
424,12,Directed,385522,,1,
35,12,Directed,385440,,1,
172,12,Directed,385335,,1,
187,12,Directed,385185,,1,
64,12,Directed,384953,,1,
233,12,Directed,384790,,1,
205,12,Directed,384749,,1,
32,12,Directed,384719,,1,
140,12,Directed,384582,,1,
548,12,Directed,384573,,1,
101,12,Directed,384540,,1,
532,12,Directed,384439,,1,
479,12,Directed,384371,,1,
467,12,Directed,384287,,1,
491,12,Directed,384260,,1,
521,12,Directed,384253,,1,
520,12,Directed,384242,,1,
61,12,Directed,383937,,1,
137,12,Directed,383891,,1,
406,12,Directed,383807,,1,
60,12,Directed,383708,,1,
29,12,Directed,383659,,1,
238,12,Directed,383566,,1,
461,12,Directed,383506,,1,
158,12,Directed,383407,,1,
28,12,Directed,383251,,1,
171,12,Directed,383115,,1,
99,12,Directed,383036,,1,
98,12,Directed,382974,,1,
27,12,Directed,382885,,1,
26,12,Directed,382767,,1,
201,12,Directed,382729,,1,
200,12,Directed,382697,,1,
134,12,Directed,382642,,1,
393,12,Directed,382521,,1,
23,12,Directed,382424,,1,
260,12,Directed,382320,,1,
326,12,Directed,382271,,1,
96,12,Directed,382114,,1,
325,12,Directed,381910,,1,
289,12,Directed,381857,,1,
22,12,Directed,381815,,1,
282,12,Directed,381712,,1,
281,12,Directed,381616,,1,
235,12,Directed,381546,,1,
288,12,Directed,381481,,1,
79,12,Directed,381458,,1,
258,12,Directed,381159,,1,
59,12,Directed,381076,,1,
150,12,Directed,380967,,1,
